"path","guards","has_session","lines"
"C:\laragon\www\doc-ease\legacy_codebase\pages\about.php","-","True","205"
"C:\laragon\www\doc-ease\legacy_codebase\pages\accomplishment-creator.php","-","False","2"
"C:\laragon\www\doc-ease\legacy_codebase\pages\add-subject.php","admin","True","765"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-assign-teachers.php","admin","True","807"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-attendance-boundary.php","admin","True","1511"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-audit-log.php","admin","True","166"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-campuses.php","-","True","426"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-class-roster.php","admin","True","417"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-dashboard.php","admin","True","239"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-db-tools.php","-","True","521"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-enrollment-approvals.php","admin","True","871"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-neighbor-numbers.php","admin","True","550"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-profile-approvals.php","admin","True","230"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-project-tree.php","-","True","275"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-references.php","admin","True","930"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-report-template-render.php","-","True","92"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-report-templates.php","-","True","653"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-schedule-approvals.php","admin","True","299"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-schedules.php","admin","True","529"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-session-settings.php","-","True","647"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-site-pages.php","-","True","372"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-student-enrollment-details.php","admin","True","546"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-users.php","admin","True","5918"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-users-students.php","-","False","4"
"C:\laragon\www\doc-ease\legacy_codebase\pages\admin-users-teachers.php","-","False","4"
"C:\laragon\www\doc-ease\legacy_codebase\pages\api\get_monthly_uploads.php","approved_user","True","51"
"C:\laragon\www\doc-ease\legacy_codebase\pages\api\get_student_name.php","approved_user","True","38"
"C:\laragon\www\doc-ease\legacy_codebase\pages\apps-calendar.php","-","True","262"
"C:\laragon\www\doc-ease\legacy_codebase\pages\apps-chat.php","-","True","510"
"C:\laragon\www\doc-ease\legacy_codebase\pages\apps-email-inbox.php","-","True","883"
"C:\laragon\www\doc-ease\legacy_codebase\pages\apps-email-read.php","-","True","293"
