"Page","Guard","Includes","PhpRefs"
"pages/about.php","","../layouts/session.php | /../includes/site_pages.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","index.php | news.php | about.php | support.php | contact-us.php"
"pages/accomplishment-creator.php","","/../modules/apps/accomplishment_creator/accomplishment-creator.php",""
"pages/add-subject.php","require_role('admin')","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","process_edit_subject.php | process_delete_subject.php"
"pages/admin-assign-teachers.php","require_role('admin')","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-dashboard.php"
"pages/admin-attendance-boundary.php","require_role('admin')","../layouts/session.php | /../includes/attendance_geofence.php | /../includes/audit.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-attendance-boundary.php | admin-dashboard.php"
"pages/admin-audit-log.php","require_role('admin')","../layouts/session.php | /../includes/audit.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-dashboard.php"
"pages/admin-campuses.php","require_role('superadmin')","../layouts/session.php | /../includes/audit.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-dashboard.php"
"pages/admin-class-roster.php","require_role('admin')","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-dashboard.php | admin-assign-teachers.php"
"pages/admin-dashboard.php","require_role('admin')","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-users-students.php | admin-users-teachers.php | admin-enrollment-approvals.php | admin-users.php"
"pages/admin-db-tools.php","require_role('superadmin')","../layouts/session.php | ../layouts/main.php | /../includes/db_tools.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","admin-dashboard.php"
